city_name,date,pm10
Badlapur,1/12/2012,120
Mumbai,1/12/2012,117
Thane,1/12/2012,62
Jalgaon,1/12/2012,158
Nashik,1/12/2012,163.5
Solapur,1/12/2012,116
Sangli,1/12/2012,124
Bhiwandi,1/12/2012,63
Akola,1/12/2012,142
Pune,1/12/2013,305
Chandrapur,1/12/2013,280
Nanded,1/12/2013,62
Jalgaon,1/12/2013,112
Nashik,1/12/2013,73
Bhiwandi,1/12/2013,61
Sangli,1/12/2013,205
Nagpur,1/12/2013,73.5
Kolhapur,1/12/2013,204
Thane,1/12/2013,140
Amravati,1/12/2013,124
Akola,1/12/2013,167
Dahanu,1/12/2013,280
Mumbai,1/12/2013,202
Latur,1/12/2013,66
Taloja,1/12/2013,122
Solapur,1/12/2013,122
Navi Mumbai,1/12/2013,231
Mumbai Metro,1/12/2013,162.3333
Panvel,1/12/2013,218
Raigad,1/12/2013,305
Sangli,1/13/2010,98
Nashik,1/13/2010,109
Dahanu,1/13/2010,81
Kolhapur,1/13/2010,91
Chandrapur,1/13/2010,81
Pune,1/13/2010,99
Raigad,1/13/2010,99
Amravati,1/13/2010,155
Navi Mumbai,1/13/2010,102.6667
Mumbai Metro,1/13/2010,130.8333
Jalgaon,1/13/2010,113
Nagpur,1/13/2010,100.5
Ulhasnagar,1/13/2010,134
Jalna,1/13/2010,53
Thane,1/13/2010,50
Aurangabad,1/13/2010,47
Mumbai,1/13/2010,212.5
Panvel,1/13/2010,155
Aurangabad,1/13/2011,127
Taloja,1/13/2011,226.3333
Kolhapur,1/13/2011,58
Chandrapur,1/13/2011,174
Jalgaon,1/13/2011,159
Badlapur,1/13/2011,110
Sangli,1/13/2011,158
Dahanu,1/13/2011,174
Akola,1/13/2011,149
Navi Mumbai,1/13/2011,268.6667
Nashik,1/13/2011,146
Thane,1/13/2011,55
Mumbai Metro,1/13/2011,176.1
Nagpur,1/13/2011,47
Raigad,1/13/2011,173.5
Pune,1/13/2011,173.5
Amravati,1/13/2011,98
Mumbai,1/13/2011,220.5
Solapur,1/13/2011,161
Thane,1/13/2012,60
Nanded,1/13/2012,47
Taloja,1/13/2012,150.6667
Mumbai Metro,1/13/2012,117.5333
Bhiwandi,1/13/2012,62
Amravati,1/13/2012,98
Lote,1/13/2012,24
Nashik,1/13/2012,184
Mumbai,1/13/2012,166
Akola,1/13/2012,162
Pune,1/13/2012,202.6667
Solapur,1/13/2012,137.5
Latur,1/13/2012,198
Jalna,1/13/2012,139
Sangli,1/13/2012,102
Aurangabad,1/13/2012,112
Jalgaon,1/13/2012,113
Nagpur,1/13/2012,59.5
Raigad,1/13/2012,202.6667
Kolhapur,1/13/2012,143
Navi Mumbai,1/13/2012,149
Mumbai Metro,1/13/2013,128.0714
Taloja,1/13/2013,124
Sangli,1/13/2013,132
Solapur,1/13/2013,124
Ulhasnagar,1/13/2013,79
Raigad,1/13/2013,329.6667
Navi Mumbai,1/13/2013,191.5
