station_name,date,pm25,pm25_aqi
Anand Vihar,21/10/2015,215.26415094339623,373.2801161103048
Anand Vihar,22/10/2015,128.65,306.65384615384613
Anand Vihar,23/10/2015,195.71666666666667,358.2435897435897
Anand Vihar,24/10/2015,246.1413043478261,397.03177257525084
Anand Vihar,25/10/2015,178.5,345.0
Anand Vihar,26/10/2015,130.7872340425532,308.29787234042556
Anand Vihar,27/10/2015,130.29166666666666,307.9166666666667
Anand Vihar,28/10/2015,136.35555555555555,312.5811965811966
Anand Vihar,29/10/2015,118.43478260869566,294.7826086956522
Anand Vihar,30/10/2015,118.04166666666667,293.47222222222223
Civil Lines,01/06/2015,36.945789473684215,61.576315789473696
Civil Lines,02/06/2015,36.16197916666668,60.26996527777781
Civil Lines,03/06/2015,34.12718750000001,56.87864583333335
Civil Lines,04/06/2015,32.64229166666666,54.40381944444443
Civil Lines,05/06/2015,35.54208333333332,59.23680555555554
Civil Lines,06/06/2015,45.02583333333332,75.04305555555553
Civil Lines,07/06/2015,48.65843749999997,81.09739583333328
Civil Lines,08/06/2015,48.357916666666654,80.59652777777777
Civil Lines,09/06/2015,52.118020833333325,86.86336805555555
Civil Lines,10/06/2015,47.74604166666668,79.57673611111113
Civil Lines,11/06/2015,57.02989583333335,95.04982638888892
Civil Lines,12/06/2015,50.546145833333306,84.24357638888884
Civil Lines,13/06/2015,46.05114583333333,76.75190972222222
Civil Lines,14/06/2015,39.241145833333334,65.40190972222223
Civil Lines,15/06/2015,44.86135416666667,74.76892361111112
Civil Lines,16/06/2015,44.11937500000001,73.53229166666668
Civil Lines,17/06/2015,45.58510416666666,75.9751736111111
Civil Lines,18/06/2015,46.27531249999999,77.12552083333333
Civil Lines,19/06/2015,46.9778125,78.29635416666667
Civil Lines,20/06/2015,49.21583333333336,82.02638888888893
Civil Lines,21/06/2015,41.203020833333326,68.67170138888888
Civil Lines,22/06/2015,18.150000000000016,30.25000000000003
Civil Lines,23/06/2015,1.3531250000000001,2.2552083333333335
Civil Lines,24/06/2015,0.14416666666666697,0.24027777777777828
Civil Lines,25/06/2015,0.14854166666666666,0.24756944444444443
Civil Lines,26/06/2015,12.856875000000047,21.42812500000008
Civil Lines,27/06/2015,49.36458333333334,82.27430555555557
Civil Lines,28/06/2015,51.60999999999998,86.01666666666662
Civil Lines,29/06/2015,51.60999999999998,86.01666666666662
Civil Lines,30/06/2015,51.609999999999985,86.01666666666665
Civil Lines,01/07/2015,51.60999999999998,86.01666666666662
Civil Lines,02/07/2015,51.60999999999998,86.01666666666662
Civil Lines,03/07/2015,51.60999999999998,86.01666666666662
Civil Lines,04/07/2015,68.99885416666655,129.99618055555516
Civil Lines,05/07/2015,51.47656249999998,85.7942708333333
Civil Lines,06/07/2015,40.701979166666675,67.83663194444446
Civil Lines,07/07/2015,41.185416666666676,68.64236111111113
Civil Lines,08/07/2015,39.98125000000001,66.63541666666669
Civil Lines,09/07/2015,39.64291666666666,66.07152777777776
Civil Lines,10/07/2015,43.02763636363637,71.71272727272728
IGI Airport,01/06/2015,7.648823529411767,12.748039215686278
IGI Airport,02/06/2015,9.047526881720433,15.079211469534055
IGI Airport,03/06/2015,8.467234042553194,14.112056737588658
IGI Airport,04/06/2015,12.000416666666661,20.000694444444434
IGI Airport,05/06/2015,14.827812499999991,24.71302083333332
IGI Airport,06/06/2015,12.859375,21.432291666666668
IGI Airport,07/06/2015,27.408541666666665,45.680902777777774
IGI Airport,08/06/2015,64.075,113.58333333333334
IGI Airport,09/06/2015,78.54343750000001,161.81145833333338
IGI Airport,10/06/2015,56.245268817204334,93.74211469534056
IGI Airport,11/06/2015,81.38739583333337,171.29131944444458
IGI Airport,12/06/2015,65.06958333333333,116.8986111111111
IGI Airport,13/06/2015,67.20041666666667,124.0013888888889
IGI Airport,14/06/2015,71.5405208333333,138.46840277777767
IGI Airport,15/06/2015,91.66385416666672,205.54618055555574
IGI Airport,16/06/2015,92.3101063829787,207.700354609929
IGI Airport,17/06/2015,128.67239583333333,306.67107371794873
IGI Airport,18/06/2015,57.65604166666659,96.09340277777764
IGI Airport,19/06/2015,71.77968749999998,139.26562499999994
IGI Airport,20/06/2015,61.985729166666694,106.61909722222231
IGI Airport,21/06/2015,47.737187500000005,79.56197916666667
IGI Airport,22/06/2015,54.577812499999986,90.9630208333333
IGI Airport,23/06/2015,59.60833333333332,99.3472222222222
IGI Airport,24/06/2015,162.86020833333336,332.9693910256411
IGI Airport,25/06/2015,56.304374999999986,93.84062499999999
IGI Airport,26/06/2015,127.84333333333329,306.0333333333333
IGI Airport,27/06/2015,75.46697916666669,151.5565972222223
IGI Airport,28/06/2015,81.1405208333333,170.46840277777767
IGI Airport,29/06/2015,50.37979166666667,83.96631944444445
IGI Airport,30/06/2015,62.34304347826085,107.81014492753617
IGI Airport,01/07/2015,61.70210526315792,105.67368421052639
IGI Airport,02/07/2015,59.49104166666665,99.15173611111109
IGI Airport,03/07/2015,64.15499999999997,113.84999999999991
IGI Airport,04/07/2015,108.08041666666666,260.2680555555555
IGI Airport,05/07/2015,134.45239583333336,311.11722756410256
IGI Airport,06/07/2015,59.400312499999984,99.00052083333331
IGI Airport,07/07/2015,89.53989583333332,198.4663194444444
IGI Airport,08/07/2015,102.08281249999999,240.27604166666663
IGI Airport,09/07/2015,81.87104166666663,172.9034722222221
IGI Airport,10/07/2015,87.15500000000002,190.5166666666667
Mandir Marg,01/06/2015,43.785714285714285,72.97619047619048
Mandir Marg,02/06/2015,31.931506849315067,53.219178082191775
Mandir Marg,03/06/2015,51.666666666666664,86.11111111111111
Mandir Marg,04/06/2015,79.24418604651163,164.14728682170545
Mandir Marg,05/06/2015,84.07692307692308,180.25641025641028
Mandir Marg,06/06/2015,65.84615384615384,119.48717948717947
Mandir Marg,07/06/2015,77.65116279069767,158.83720930232556
Mandir Marg,08/06/2015,76.5223880597015,155.07462686567166
Mandir Marg,09/06/2015,71.86363636363636,139.54545454545453
Mandir Marg,10/06/2015,50.64367816091954,84.40613026819923
Mandir Marg,11/06/2015,87.52,191.73333333333332
Mandir Marg,12/06/2015,63.206896551724135,110.68965517241378
Mandir Marg,13/06/2015,52.285714285714285,87.14285714285714
Mandir Marg,14/06/2015,70.02197802197803,133.40659340659343
Mandir Marg,15/06/2015,90.9010989010989,203.003663003663
